"cn","Aou","GL.mean.PopEst","GL.med.PopEst","GL.80LCI.PopEst","GL.80UCI.PopEst","GL.95LCI.PopEst","GL.95UCI.PopEst","WH.mean.PopEst","WH.med.PopEst","WH.80LCI.PopEst","WH.80UCI.PopEst","WH.95LCI.PopEst","WH.95UCI.PopEst","USCAN.mean.PopEst","USCAN.med.PopEst","USCAN.80LCI.PopEst","USCAN.80UCI.PopEst","USCAN.95LCI.PopEst","USCAN.95UCI.PopEst","rounded.GL.mean.PopEst","rounded.GL.med.PopEst","rounded.GL.80LCI.PopEst","rounded.GL.80UCI.PopEst","rounded.GL.95LCI.PopEst","rounded.GL.95UCI.PopEst","rounded.WH.mean.PopEst","rounded.WH.med.PopEst","rounded.WH.80LCI.PopEst","rounded.WH.80UCI.PopEst","rounded.WH.95LCI.PopEst","rounded.WH.95UCI.PopEst","rounded.USCAN.mean.PopEst","rounded.USCAN.med.PopEst","rounded.USCAN.80LCI.PopEst","rounded.USCAN.80UCI.PopEst","rounded.USCAN.95LCI.PopEst","rounded.USCAN.95UCI.PopEst","PS.Score","PS.80LCI.Score","PS.80UCI.Score","PS.95LCI.Score","PS.95UCI.Score","Distance","Availability"
"Cactus Wren",7130,6911094.67386204,6762623.18160488,5417578.83622712,8441134.44392304,4906709.11543876,9260673.80337869,6911094.67386204,6762623.18160488,5417578.83622712,8441134.44392304,4906709.11543876,9260673.80337869,2945508.55,2882230,2308972.1,3597611.5,2091239.425,3946899.175,6910000,6760000,5420000,8440000,4910000,9260000,6910000,6760000,5420000,8440000,4910000,9260000,2950000,2880000,2310000,3600000,2090000,3950000,2,2,2,3,2,"existing","existing"
"Rock Wren",7150,4427784.74736558,4350678.87057552,3948710.75385031,5013332.88300459,3673290.79978384,5505694.37314239,4427784.74736558,4350678.87057552,3948710.75385031,5013332.88300459,3673290.79978384,5505694.37314239,3277446.27,3220372.5,2922835.7,3710869,2718969.85,4075314.975,4430000,4350000,3950000,5010000,3670000,5510000,4430000,4350000,3950000,5010000,3670000,5510000,3280000,3220000,2920000,3710000,2720000,4080000,3,3,2,3,2,"existing","existing"
"Canyon Wren",7170,581987.911439114,575228.782287823,485201.47601476,692017.712177122,440806.937269373,728549.778597786,581987.911439114,575228.782287823,485201.47601476,692017.712177122,440806.937269373,728549.778597786,394296.81,389717.5,328724,468842,298646.7,493592.475,582000,575000,485000,692000,441000,729000,582000,575000,485000,692000,441000,729000,394000,390000,329000,469000,299000,494000,3,4,3,4,3,"existing","existing"
"Carolina Wren",7180,21620199.7982063,21461866.5919283,20416467.8251121,23088495.4035874,19692900.5325112,23950895.7118834,21620199.7982063,21461866.5919283,20416467.8251121,23088495.4035874,19692900.5325112,23950895.7118834,19285218.22,19143985,18211489.3,20594937.9,17566067.275,21364198.975,21600000,21500000,20400000,23100000,19700000,2.4e+07,21600000,21500000,20400000,23100000,19700000,2.4e+07,19300000,19100000,18200000,20600000,17600000,21400000,2,2,2,2,2,"existing","existing"
"Bewick's Wren",7190,6501179.51335478,6494314.08194658,5701280.10068522,7465379.66717942,5347715.84393791,7814147.04237169,6501179.51335478,6494314.08194658,5701280.10068522,7465379.66717942,5347715.84393791,7814147.04237169,4648993.47,4644084,4076985.4,5338493,3824151.6,5587896.55,6500000,6490000,5700000,7470000,5350000,7810000,6500000,6490000,5700000,7470000,5350000,7810000,4650000,4640000,4080000,5340000,3820000,5590000,2,2,2,2,2,"existing","existing"
"House Wren",7210,175796699.74122,176290876.155268,164709686.136784,186104205.914972,161835729.390018,188724959.426987,175796699.74122,176290876.155268,164709686.136784,186104205.914972,161835729.390018,188724959.426987,47553007.28,47686682,44553970.1,50341187.7,43776564.8,51050101.525,1.76e+08,1.76e+08,1.65e+08,1.86e+08,1.62e+08,1.89e+08,1.76e+08,1.76e+08,1.65e+08,1.86e+08,1.62e+08,1.89e+08,47600000,47700000,44600000,50300000,43800000,51100000,1,1,1,1,1,"existing","existing"
"Pacific Wren",7221,7236645.14,7069058,5761211.1,8896258.3,5244372.275,10048553.575,7236645.14,7069058,5761211.1,8896258.3,5244372.275,10048553.575,7236645.14,7069058,5761211.1,8896258.3,5244372.275,10048553.575,7240000,7070000,5760000,8900000,5240000,1e+07,7240000,7070000,5760000,8900000,5240000,1e+07,7240000,7070000,5760000,8900000,5240000,1e+07,2,2,2,2,2,"existing","existing"
"Winter Wren",7222,9596288.02,9301732,8153408.8,11307296.9,7864204.45,12225303.1,9596288.02,9301732,8153408.8,11307296.9,7864204.45,12225303.1,9596288.02,9301732,8153408.8,11307296.9,7864204.45,12225303.1,9600000,9300000,8150000,11300000,7860000,12200000,9600000,9300000,8150000,11300000,7860000,12200000,9600000,9300000,8150000,11300000,7860000,12200000,2,2,2,2,2,"existing","existing"
"Sedge Wren",7240,18474457.5874126,18420800.6993007,16653667.4825175,20186953.1468531,15151576.5734266,22240838.1993007,18474457.5874126,18420800.6993007,16653667.4825175,20186953.1468531,15151576.5734266,22240838.1993007,5283694.87,5268349,4762948.9,5773468.6,4333350.9,6360879.725,18500000,18400000,16700000,20200000,15200000,22200000,18500000,18400000,16700000,20200000,15200000,22200000,5280000,5270000,4760000,5770000,4330000,6360000,2,2,2,2,2,"existing","existing"
"Marsh Wren",7250,12661253.6644458,12378306.5818696,9363883.40399758,16385945.6894811,8522428.12436907,18139734.1257823,12661253.6644458,12378306.5818696,9363883.40399758,16385945.6894811,8522428.12436907,18139734.1257823,12542237.88,12261950.5,9275862.9,16231917.8,8442317.3,17969220.625,12700000,12400000,9360000,16400000,8520000,18100000,12700000,12400000,9360000,16400000,8520000,18100000,12500000,12300000,9280000,16200000,8440000,1.8e+07,2,2,2,2,2,"existing","existing"
"Brown Creeper",7260,9482225.39122768,9427544.63301741,8669540.88604805,10564146.3522151,8177659.35640291,11049721.3742561,9482225.39122768,9427544.63301741,8669540.88604805,10564146.3522151,8177659.35640291,11049721.3742561,8604171.32,8554554,7866741.4,9585906.4,7420408.1,10026517.175,9480000,9430000,8670000,10600000,8180000,1.1e+07,9480000,9430000,8670000,10600000,8180000,1.1e+07,8600000,8550000,7870000,9590000,7420000,1e+07,2,2,2,2,2,"existing","existing"
"White-breasted Nuthatch",7270,11097025.4595792,11076018.8261351,10515861.2403101,11704801.1074197,10239848.089701,11968532.1982281,11097025.4595792,11076018.8261351,10515861.2403101,11704801.1074197,10239848.089701,11968532.1982281,10020613.99,10001645,9495822.7,10569435.4,9246582.825,10807584.575,11100000,11100000,10500000,11700000,10200000,1.2e+07,11100000,11100000,10500000,11700000,10200000,1.2e+07,1e+07,1e+07,9500000,10600000,9250000,10800000,2,2,2,2,2,"existing","existing"
"Red-breasted Nuthatch",7280,20305758.91,20321429.5,19038432.8,21708582.4,18290910.25,22405092.125,20305758.91,20321429.5,19038432.8,21708582.4,18290910.25,22405092.125,20305758.91,20321429.5,19038432.8,21708582.4,18290910.25,22405092.125,20300000,20300000,1.9e+07,21700000,18300000,22400000,20300000,20300000,1.9e+07,21700000,18300000,22400000,20300000,20300000,1.9e+07,21700000,18300000,22400000,2,2,2,2,2,"existing","existing"
"Brown-headed Nuthatch",7290,1423326.29154986,1416206.94833801,1292791.34961954,1569152.48297958,1226766.16940328,1637060.74789748,1423326.29154986,1416206.94833801,1292791.34961954,1569152.48297958,1226766.16940328,1637060.74789748,1421618.3,1414507.5,1291240,1567269.5,1225294.05,1635096.275,1420000,1420000,1290000,1570000,1230000,1640000,1420000,1420000,1290000,1570000,1230000,1640000,1420000,1410000,1290000,1570000,1230000,1640000,3,3,3,3,3,"existing","existing"
"Pygmy Nuthatch",7300,3860291.18084842,3849439.96526916,3149104.31654676,4681681.96477301,2638407.83924584,4910251.79856115,3860291.18084842,3849439.96526916,3149104.31654676,4681681.96477301,2638407.83924584,4910251.79856115,3112166.75,3103418.5,2538807.9,3774372,2127084.4,3958645,3860000,3850000,3150000,4680000,2640000,4910000,3860000,3850000,3150000,4680000,2640000,4910000,3110000,3100000,2540000,3770000,2130000,3960000,3,3,3,3,3,"existing","existing"
"Tufted Titmouse",7310,12066663.76,12046581.5,11402432.3,12756095.5,11150836.8,13152617.525,12066663.76,12046581.5,11402432.3,12756095.5,11150836.8,13152617.525,12066663.76,12046581.5,11402432.3,12756095.5,11150836.8,13152617.525,12100000,1.2e+07,11400000,12800000,11200000,13200000,12100000,1.2e+07,11400000,12800000,11200000,13200000,12100000,1.2e+07,11400000,12800000,11200000,13200000,2,2,2,2,2,"existing","existing"
"Black-crested Titmouse",7320,1381673.93545923,1376971.54859652,1015035.32556807,1717336.45216727,957646.935268283,1958587.50238686,1381673.93545923,1376971.54859652,1015035.32556807,1717336.45216727,957646.935268283,1958587.50238686,723582.64,721120,531574,899369.1,501519.7,1025712.275,1380000,1380000,1020000,1720000,958000,1960000,1380000,1380000,1020000,1720000,958000,1960000,724000,721000,532000,899000,502000,1030000,3,3,3,3,3,"existing","existing"
"Oak Titmouse",7330,793778.365872926,760308.655907911,531271.752623857,1091150.32163413,434411.860963774,1267773.72757025,793778.365872926,760308.655907911,531271.752623857,1091150.32163413,434411.860963774,1267773.72757025,703367.01,673709.5,470759.9,966868.300000001,384932.35,1123374.3,794000,760000,531000,1090000,434000,1270000,794000,760000,531000,1090000,434000,1270000,703000,674000,471000,967000,385000,1120000,3,3,3,4,3,"existing","existing"
"Juniper Titmouse",7331,338506.031010874,340619.714055578,269895.388642771,419429.72211035,226448.75151027,450677.255336287,338506.031010874,340619.714055578,269895.388642771,419429.72211035,226448.75151027,450677.255336287,336204.19,338303.5,268060.1,416577.6,224908.9,447612.65,339000,341000,270000,419000,226000,451000,339000,341000,270000,419000,226000,451000,336000,338000,268000,417000,225000,448000,4,4,4,4,4,"existing","existing"
"Bridled Titmouse",7340,447835.175504108,403259.895444361,239231.516056759,698755.04107543,163455.00373413,924103.248693054,447835.175504108,403259.895444361,239231.516056759,698755.04107543,163455.00373413,924103.248693054,59965.13,53996.5,32033.1,93563.3,21886.625,123737.425,448000,403000,239000,699000,163000,924000,448000,403000,239000,699000,163000,924000,60000,54000,32000,93600,21900,124000,4,4,3,4,3,"existing","existing"
"Black-capped Chickadee",7350,43674602.42,43382204.5,41718582.4,45879880.8,40207886.45,46660892.525,43674602.42,43382204.5,41718582.4,45879880.8,40207886.45,46660892.525,43674602.42,43382204.5,41718582.4,45879880.8,40207886.45,46660892.525,43700000,43400000,41700000,45900000,40200000,46700000,43700000,43400000,41700000,45900000,40200000,46700000,43700000,43400000,41700000,45900000,40200000,46700000,2,2,2,2,2,"existing","existing"
"Carolina Chickadee",7360,12431764.28,12385076,11861459.2,13080738.3,11532260.35,13294792.175,12431764.28,12385076,11861459.2,13080738.3,11532260.35,13294792.175,12431764.28,12385076,11861459.2,13080738.3,11532260.35,13294792.175,12400000,12400000,11900000,13100000,11500000,13300000,12400000,12400000,11900000,13100000,11500000,13300000,12400000,12400000,11900000,13100000,11500000,13300000,2,2,2,2,2,"existing","existing"
"Mountain Chickadee",7380,7173210,7131465,6464620.6,7940492.7,6203274.9,8359836.35,7173210,7131465,6464620.6,7940492.7,6203274.9,8359836.35,7173210,7131465,6464620.6,7940492.7,6203274.9,8359836.35,7170000,7130000,6460000,7940000,6200000,8360000,7170000,7130000,6460000,7940000,6200000,8360000,7170000,7130000,6460000,7940000,6200000,8360000,2,2,2,2,2,"existing","existing"
"Boreal Chickadee",7400,12883335.64,12773098.5,10693218.2,15316984.5,9644221.15,17161425.675,12883335.64,12773098.5,10693218.2,15316984.5,9644221.15,17161425.675,12883335.64,12773098.5,10693218.2,15316984.5,9644221.15,17161425.675,12900000,12800000,10700000,15300000,9640000,17200000,12900000,12800000,10700000,15300000,9640000,17200000,12900000,12800000,10700000,15300000,9640000,17200000,2,2,2,2,2,"existing","existing"
"Chestnut-backed Chickadee",7410,13843946.83,13659345.5,11497776.6,16148008.2,10922855.275,19018673.525,13843946.83,13659345.5,11497776.6,16148008.2,10922855.275,19018673.525,13843946.83,13659345.5,11497776.6,16148008.2,10922855.275,19018673.525,13800000,13700000,11500000,16100000,10900000,1.9e+07,13800000,13700000,11500000,16100000,10900000,1.9e+07,13800000,13700000,11500000,16100000,10900000,1.9e+07,2,2,2,2,2,"existing","existing"
"Wrentit",7420,1831700.79407662,1759727.43856637,1295460.45713059,2570102.47880674,1143576.7517974,3101491.22759953,1831700.79407662,1759727.43856637,1295460.45713059,2570102.47880674,1143576.7517974,3101491.22759953,1706961.97,1639890,1207239.6,2395078.5,1065699.175,2890279.675,1830000,1760000,1300000,2570000,1140000,3100000,1830000,1760000,1300000,2570000,1140000,3100000,1710000,1640000,1210000,2400000,1070000,2890000,3,3,3,3,3,"existing","existing"
"Bushtit",7430,3070910.38197845,3062102.98027144,2522759.33958304,3543889.18427312,2338963.1313838,3853962.64166783,3070910.38197845,3062102.98027144,2522759.33958304,3543889.18427312,2338963.1313838,3853962.64166783,2194779.65,2188485,1803016.1,2532817.6,1671656.95,2754427.1,3070000,3060000,2520000,3540000,2340000,3850000,3070000,3060000,2520000,3540000,2340000,3850000,2190000,2190000,1800000,2530000,1670000,2750000,3,3,3,3,3,"existing","existing"
"Verdin",7460,8281313.8849263,8380000,6516031.38373752,10019067.5225868,6036112.28007608,10902425.0475511,8281313.8849263,8380000,6516031.38373752,10019067.5225868,6036112.28007608,10902425.0475511,3483120.62,3524628,2740642.8,4214019.8,2538788.825,4585559.975,8280000,8380000,6520000,1e+07,6040000,10900000,8280000,8380000,6520000,1e+07,6040000,10900000,3480000,3520000,2740000,4210000,2540000,4590000,2,2,2,2,2,"existing","existing"
"Arctic Warbler",7470,73978487.5,71503290,28662138,127465292,19907029.25,166163489,7397848.75,7150329,2866213.8,12746529.2,1990702.925,16616348.9,7397848.75,7150329,2866213.8,12746529.2,1990702.925,16616348.9,7.4e+07,71500000,28700000,1.27e+08,19900000,1.66e+08,7400000,7150000,2870000,12700000,1990000,16600000,7400000,7150000,2870000,12700000,1990000,16600000,1,2,1,2,1,"existing","existing"
"Golden-crowned Kinglet",7480,133657127.561123,133115062.638917,110021829.056375,160063796.52455,101498217.543948,173982109.66862,133657127.561123,133115062.638917,110021829.056375,160063796.52455,101498217.543948,173982109.66862,132293824.86,131757289,108899606.4,158431145.8,100462935.725,172207492.15,1.34e+08,1.33e+08,1.1e+08,1.6e+08,1.01e+08,1.74e+08,1.34e+08,1.33e+08,1.1e+08,1.6e+08,1.01e+08,1.74e+08,1.32e+08,1.32e+08,1.09e+08,1.58e+08,1e+08,1.72e+08,1,1,1,1,1,"existing","existing"
"Ruby-crowned Kinglet",7490,99611926.42,98334113,90866174.2,109071859.1,86284088.075,113910841.05,99611926.42,98334113,90866174.2,109071859.1,86284088.075,113910841.05,99611926.42,98334113,90866174.2,109071859.1,86284088.075,113910841.05,99600000,98300000,90900000,1.09e+08,86300000,1.14e+08,99600000,98300000,90900000,1.09e+08,86300000,1.14e+08,99600000,98300000,90900000,1.09e+08,86300000,1.14e+08,1,1,1,1,1,"existing","existing"
"Blue-gray Gnatcatcher",7510,314172488.046133,313047257.123474,285960653.324288,350627550.881954,265676700.542741,369861534.12483,314172488.046133,313047257.123474,285960653.324288,350627550.881954,265676700.542741,369861534.12483,231545123.69,230715828.5,210753001.5,258412505,195803728.3,272587950.65,3.14e+08,3.13e+08,2.86e+08,3.51e+08,2.66e+08,3.7e+08,3.14e+08,3.13e+08,2.86e+08,3.51e+08,2.66e+08,3.7e+08,2.32e+08,2.31e+08,2.11e+08,2.58e+08,1.96e+08,2.73e+08,1,1,1,1,1,"existing","existing"
"Black-tailed Gnatcatcher",7520,24592918.8560027,24075490.5221151,17707800.1330229,31787748.9191886,15309130.4456269,37384222.979714,24592918.8560027,24075490.5221151,17707800.1330229,31787748.9191886,15309130.4456269,37384222.979714,7395090.7,7239500,5324735.5,9558576.1,4603455.525,11241435.85,24600000,24100000,17700000,31800000,15300000,37400000,24600000,24100000,17700000,31800000,15300000,37400000,7400000,7240000,5320000,9560000,4600000,11200000,2,2,2,2,2,"existing","existing"
"California Gnatcatcher",7530,187083.801295896,155853.13174946,0,368395.24838013,0,622210.043196543,187083.801295896,155853.13174946,0,368395.24838013,0,622210.043196543,8661.98,7216,0,17056.7,0,28808.3249999999,187000,156000,0,368000,0,622000,187000,156000,0,368000,0,622000,8660,7220,0,17100,0,28800,4,5,4,5,3,"existing","existing"
"Townsend's Solitaire",7540,892464.694176791,888826.979472141,742921.763720151,1042343.73690825,704920.480728948,1090706.61395057,892464.694176791,888826.979472141,742921.763720151,1042343.73690825,704920.480728948,1090706.61395057,852125.29,848652,709341.7,995229.8,673058.075,1041406.675,892000,889000,743000,1040000,705000,1090000,892000,889000,743000,1040000,705000,1090000,852000,849000,709000,995000,673000,1040000,3,3,3,3,3,"existing","existing"
"Wood Thrush",7550,12386927,12372360,11480133.8,13378807.6,11139675.45,13757496.975,12386927,12372360,11480133.8,13378807.6,11139675.45,13757496.975,12386927,12372360,11480133.8,13378807.6,11139675.45,13757496.975,12400000,12400000,11500000,13400000,11100000,13800000,12400000,12400000,11500000,13400000,11100000,13800000,12400000,12400000,11500000,13400000,11100000,13800000,2,2,2,2,2,"existing","existing"
"Veery",7560,11431427.72,11378116,10210847.7,12647882.6,9627331.65,13311740.85,11431427.72,11378116,10210847.7,12647882.6,9627331.65,13311740.85,11431427.72,11378116,10210847.7,12647882.6,9627331.65,13311740.85,11400000,11400000,10200000,12600000,9630000,13300000,11400000,11400000,10200000,12600000,9630000,13300000,11400000,11400000,10200000,12600000,9630000,13300000,2,2,2,2,2,"existing","existing"
"Gray-cheeked Thrush",7570,35973447.1222222,35838368.8888889,28559159.6666667,43091366.7777778,25502130.6111111,46649773.25,32376102.41,32254532,25703243.7,38782230.1,22951917.55,41984795.925,32376102.41,32254532,25703243.7,38782230.1,22951917.55,41984795.925,3.6e+07,35800000,28600000,43100000,25500000,46600000,32400000,32300000,25700000,38800000,2.3e+07,4.2e+07,32400000,32300000,25700000,38800000,2.3e+07,4.2e+07,2,2,2,2,2,"existing","existing"
"Swainson's Thrush",7580,122409124.65,122773049.5,110024364.2,134836948.6,103649184.85,145576663.05,122409124.65,122773049.5,110024364.2,134836948.6,103649184.85,145576663.05,122409124.65,122773049.5,110024364.2,134836948.6,103649184.85,145576663.05,1.22e+08,1.23e+08,1.1e+08,1.35e+08,1.04e+08,1.46e+08,1.22e+08,1.23e+08,1.1e+08,1.35e+08,1.04e+08,1.46e+08,1.22e+08,1.23e+08,1.1e+08,1.35e+08,1.04e+08,1.46e+08,1,1,1,1,1,"existing","existing"
"Hermit Thrush",7590,54495466.8766877,53649981.4981498,47213187.4187419,62646685.4685469,44320691.1941194,71042524.6524652,54495466.8766877,53649981.4981498,47213187.4187419,62646685.4685469,44320691.1941194,71042524.6524652,54490017.33,53644616.5,47208466.1,62640420.8,44316259.125,71035420.3999999,54500000,53600000,47200000,62600000,44300000,7.1e+07,54500000,53600000,47200000,62600000,44300000,7.1e+07,54500000,53600000,47200000,62600000,44300000,7.1e+07,1,2,1,2,1,"existing","existing"
"American Robin",7610,353036259.841221,351470919.682441,336610480.255696,368266184.348902,332322844.829364,380364806.294463,353036259.841221,351470919.682441,336610480.255696,368266184.348902,332322844.829364,380364806.294463,342409868.42,340891645,326478504.8,357181372.2,322319927.2,368915825.625,3.53e+08,3.51e+08,3.37e+08,3.68e+08,3.32e+08,3.8e+08,3.53e+08,3.51e+08,3.37e+08,3.68e+08,3.32e+08,3.8e+08,3.42e+08,3.41e+08,3.26e+08,3.57e+08,3.22e+08,3.69e+08,1,1,1,1,1,"existing","existing"
"Varied Thrush",7630,33199832.04,33314574.5,26718993.5,39583831.5,23947056.225,42979452.525,33199832.04,33314574.5,26718993.5,39583831.5,23947056.225,42979452.525,33199832.04,33314574.5,26718993.5,39583831.5,23947056.225,42979452.525,33200000,33300000,26700000,39600000,23900000,4.3e+07,33200000,33300000,26700000,39600000,23900000,4.3e+07,33200000,33300000,26700000,39600000,23900000,4.3e+07,2,2,2,2,2,"existing","existing"
"Bluethroat",7640,21334718.9655172,19531620.6896552,10145382.7586207,34977224.137931,5723262.93103448,38253698.2758621,618706.85,566417,294216.1,1014339.5,165974.625,1109357.25,618706.85,566417,294216.1,1014339.5,165974.625,1109357.25,21300000,19500000,10100000,3.5e+07,5720000,38300000,619000,566000,294000,1010000,166000,1110000,619000,566000,294000,1010000,166000,1110000,2,2,2,2,2,"existing","existing"
"Northern Wheatear",7650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,"existing","existing"
"Eastern Bluebird",7660,22002929.3503214,21954431.8181818,21234159.6648301,23003959.3663912,20552780.0734619,23517493.5433884,22002929.3503214,21954431.8181818,21234159.6648301,23003959.3663912,20552780.0734619,23517493.5433884,19168952.05,19126701,18499199.9,20041049.4,17905582,20488440.375,2.2e+07,2.2e+07,21200000,2.3e+07,20600000,23500000,2.2e+07,2.2e+07,21200000,2.3e+07,20600000,23500000,19200000,19100000,18500000,2e+07,17900000,20500000,2,2,2,2,2,"existing","existing"
"Western Bluebird",7670,8465027.78024582,8508748.70427958,6993106.61928032,9876498.59321783,6436022.76765882,10590506.1454169,8465027.78024582,8508748.70427958,6993106.61928032,9876498.59321783,6436022.76765882,10590506.1454169,5716433.26,5745958,4722444.9,6669599.5,4346246.175,7151768.8,8470000,8510000,6990000,9880000,6440000,10600000,8470000,8510000,6990000,9880000,6440000,10600000,5720000,5750000,4720000,6670000,4350000,7150000,2,2,2,2,2,"existing","existing"
"Mountain Bluebird",7680,5211056.65,5189483,4629470.8,5847658.9,4305379.85,6206430.9,5211056.65,5189483,4629470.8,5847658.9,4305379.85,6206430.9,5211056.65,5189483,4629470.8,5847658.9,4305379.85,6206430.9,5210000,5190000,4630000,5850000,4310000,6210000,5210000,5190000,4630000,5850000,4310000,6210000,5210000,5190000,4630000,5850000,4310000,6210000,2,3,2,3,2,"existing","existing"
"Eurasian Collared-Dove",22860,287683631.481481,286197016.460905,265603534.979424,308712609.053498,259085815.843621,325765516.460905,14398995.3553038,14324588.053553,13293853.5530381,15451527.0854789,12967631.9773429,16305050.5664264,13981424.49,13909175,12908331.8,15003432.8,12591570.65,15832204.1,2.88e+08,2.86e+08,2.66e+08,3.09e+08,2.59e+08,3.26e+08,14400000,14300000,13300000,15500000,1.3e+07,16300000,1.4e+07,13900000,12900000,1.5e+07,12600000,15800000,1,1,1,1,1,"existing","existing"
