"cn","To.ProvBCR","From.ProvBCR","RngAdj","To.BCR","To.Prov","From.BCR","From.Prov"
"MacGillivray's Warbler","92-9","33-9",2,9,"WY",9,"ID"
"Lewis's Woodpecker","92-9","33-9",1.84,9,"WY",9,"ID"
"American Three-toed Woodpecker","92-9","33-9",2,9,"WY",9,"ID"
"Savannah Sparrow","92-9","33-9",1,9,"WY",9,"ID"
"Song Sparrow","92-9","33-9",1,9,"WY",9,"ID"
"Peregrine Falcon","92-9","33-9",1,9,"WY",9,"ID"
"Western Wood-Pewee","92-9","33-9",1,9,"WY",9,"ID"
"Red-winged Blackbird","92-9","33-9",1,9,"WY",9,"ID"
"American Robin","92-9","33-9",1,9,"WY",9,"ID"
"Prairie Falcon","92-9","33-9",1,9,"WY",9,"ID"
"Black-capped Chickadee","92-9","33-9",1.01,9,"WY",9,"ID"
"Northern Harrier","92-9","33-9",1,9,"WY",9,"ID"
"Red-eyed Vireo","92-9","33-9",2,9,"WY",9,"ID"
"Brewer's Blackbird","92-9","33-9",1,9,"WY",9,"ID"
"Western Scrub-Jay","92-9","33-9",0.45,9,"WY",9,"ID"
"Yellow Warbler","92-9","33-9",1,9,"WY",9,"ID"
"Cordilleran Flycatcher","92-9","33-9",1.04,9,"WY",9,"ID"
"Black-billed Magpie","92-9","33-9",1,9,"WY",9,"ID"
"Greater Sage-Grouse","92-9","33-9",1.17,9,"WY",9,"ID"
"Say's Phoebe","92-9","33-9",0.94,9,"WY",9,"ID"
"Yellow-headed Blackbird","92-9","33-9",1,9,"WY",9,"ID"
"Downy Woodpecker","92-9","33-9",1,9,"WY",9,"ID"
"Broad-tailed Hummingbird","92-9","33-9",2,9,"WY",9,"ID"
"Ruffed Grouse","92-9","33-9",2,9,"WY",9,"ID"
"Tree Swallow","92-9","33-9",1.4,9,"WY",9,"ID"
"Western Tanager","92-9","33-9",1.06,9,"WY",9,"ID"
"Clark's Nutcracker","92-9","33-9",1.32,9,"WY",9,"ID"
"Bullock's Oriole","92-9","33-9",1.16,9,"WY",9,"ID"
"Calliope Hummingbird","92-9","33-9",0.24,9,"WY",9,"ID"
"Gray Catbird","92-9","33-9",1.13,9,"WY",9,"ID"
"Belted Kingfisher","92-9","33-9",1,9,"WY",9,"ID"
"European Starling","92-9","33-9",1,9,"WY",9,"ID"
"House Sparrow","92-9","33-9",1,9,"WY",9,"ID"
"Black-headed Grosbeak","92-9","33-9",1,9,"WY",9,"ID"
"Bald Eagle","92-9","33-9",1.05,9,"WY",9,"ID"
"Chipping Sparrow","92-9","33-9",1,9,"WY",9,"ID"
"Violet-green Swallow","92-9","33-9",1,9,"WY",9,"ID"
"Northern Rough-winged Swallow","92-9","33-9",1,9,"WY",9,"ID"
"Williamson's Sapsucker","92-9","33-9",2,9,"WY",9,"ID"
"Sharp-shinned Hawk","92-9","33-9",1.4,9,"WY",9,"ID"
"Cooper's Hawk","92-9","33-9",1,9,"WY",9,"ID"
"Red Crossbill","92-9","33-9",1.83,9,"WY",9,"ID"
"White-crowned Sparrow","92-9","33-9",2,9,"WY",9,"ID"
"Black-backed Woodpecker","92-9","33-9",2,9,"WY",9,"ID"
"Western Screech-Owl","92-9","33-9",1,9,"WY",9,"ID"
"Loggerhead Shrike","92-9","33-9",1.03,9,"WY",9,"ID"
"Sage Thrasher","92-9","33-9",1.09,9,"WY",9,"ID"
"Yellow-breasted Chat","92-9","33-9",1,9,"WY",9,"ID"
"Lazuli Bunting","92-9","33-9",1,9,"WY",9,"ID"
"Red-naped Sapsucker","92-9","33-9",1.87,9,"WY",9,"ID"
"Golden Eagle","92-9","33-9",1,9,"WY",9,"ID"
"Cassin's Finch","92-9","33-9",2,9,"WY",9,"ID"
"Evening Grosbeak","92-9","33-9",1.92,9,"WY",9,"ID"
"Louisiana Waterthrush","66-23","35-23",1.15,23,"OH",23,"IN"
"House Finch","66-23","35-23",1,23,"OH",23,"IN"
"Barn Owl","66-23","35-23",1,23,"OH",23,"IN"
"American Robin","66-23","35-23",1,23,"OH",23,"IN"
"Orchard Oriole","66-23","35-23",1,23,"OH",23,"IN"
"Blue Jay","66-23","35-23",1,23,"OH",23,"IN"
"Red-bellied Woodpecker","66-23","35-23",1,23,"OH",23,"IN"
"Great Horned Owl","66-23","35-23",1,23,"OH",23,"IN"
"Brown-headed Cowbird","66-23","35-23",1,23,"OH",23,"IN"
"Belted Kingfisher","66-23","35-23",1,23,"OH",23,"IN"
"Horned Lark","66-23","35-23",1,23,"OH",23,"IN"
"Western Meadowlark","66-23","35-23",1.53,23,"OH",23,"IN"
"Henslow's Sparrow","66-23","35-23",1,23,"OH",23,"IN"
"White-eyed Vireo","66-23","35-23",1,23,"OH",23,"IN"
"Bobolink","66-23","35-23",1,23,"OH",23,"IN"
"Northern Rough-winged Swallow","66-23","35-23",1,23,"OH",23,"IN"
"Common Yellowthroat","66-23","35-23",1,23,"OH",23,"IN"
"Sedge Wren","66-23","35-23",1,23,"OH",23,"IN"
"Common Grackle","66-23","35-23",1,23,"OH",23,"IN"
"Black-capped Chickadee","66-23","35-23",1,23,"OH",23,"IN"
"Marsh Wren","66-23","35-23",1,23,"OH",23,"IN"
"Barn Swallow","66-23","35-23",1,23,"OH",23,"IN"
"Grasshopper Sparrow","66-23","35-23",1,23,"OH",23,"IN"
"Cliff Swallow","66-23","35-23",0.01,23,"OH",23,"IN"
"Red-eyed Vireo","66-23","35-23",1,23,"OH",23,"IN"
"Sharp-shinned Hawk","66-23","35-23",1,23,"OH",23,"IN"
"Red-headed Woodpecker","66-23","35-23",1,23,"OH",23,"IN"
"Bank Swallow","66-23","35-23",1,23,"OH",23,"IN"
"Cooper's Hawk","66-23","35-23",1,23,"OH",23,"IN"
"Savannah Sparrow","66-23","35-23",1,23,"OH",23,"IN"
"Swamp Sparrow","66-23","35-23",1,23,"OH",23,"IN"
"Eastern Kingbird","66-23","35-23",1,23,"OH",23,"IN"
"Rose-breasted Grosbeak","66-23","35-23",1,23,"OH",23,"IN"
"Dickcissel","66-23","35-23",1,23,"OH",23,"IN"
"Vesper Sparrow","66-23","35-23",1,23,"OH",23,"IN"
"Northern Bobwhite","66-23","35-23",1,23,"OH",23,"IN"
"White-breasted Nuthatch","66-23","35-23",1,23,"OH",23,"IN"
"Black-billed Cuckoo","66-23","35-23",1,23,"OH",23,"IN"
"House Sparrow","66-23","35-23",1,23,"OH",23,"IN"
"Ruby-throated Hummingbird","66-23","35-23",1,23,"OH",23,"IN"
"Veery","66-23","35-23",2,23,"OH",23,"IN"
"Ovenbird","66-23","35-23",1,23,"OH",23,"IN"
"Indigo Bunting","66-23","35-23",1,23,"OH",23,"IN"
"Scarlet Tanager","66-23","35-23",1,23,"OH",23,"IN"
"Carolina Wren","66-23","35-23",1,23,"OH",23,"IN"
"American Crow","66-23","35-23",1,23,"OH",23,"IN"
"Tree Swallow","66-23","35-23",1,23,"OH",23,"IN"
"Mourning Dove","66-23","35-23",1,23,"OH",23,"IN"
"Lark Sparrow","66-23","35-23",1.07,23,"OH",23,"IN"
"Northern Flicker","66-23","35-23",1,23,"OH",23,"IN"
"Eastern Whip-poor-will","66-23","35-23",2,23,"OH",23,"IN"
"Cerulean Warbler","66-23","35-23",1,23,"OH",23,"IN"
"American Kestrel","66-23","35-23",1,23,"OH",23,"IN"
"Rock Pigeon","66-23","35-23",1,23,"OH",23,"IN"
"Ruffed Grouse","66-23","35-23",1.91,23,"OH",23,"IN"
"Eastern Meadowlark","66-23","35-23",1,23,"OH",23,"IN"
"Acadian Flycatcher","66-23","35-23",1,23,"OH",23,"IN"
"Northern Mockingbird","66-23","35-23",1,23,"OH",23,"IN"
"Wood Thrush","66-23","35-23",1,23,"OH",23,"IN"
"Wild Turkey","66-23","35-23",2,23,"OH",23,"IN"
"Song Sparrow","66-23","35-23",1,23,"OH",23,"IN"
"Blue-gray Gnatcatcher","66-23","35-23",1,23,"OH",23,"IN"
"Eastern Screech-Owl","66-23","35-23",1,23,"OH",23,"IN"
"Warbling Vireo","66-23","35-23",1,23,"OH",23,"IN"
"Tufted Titmouse","66-23","35-23",1,23,"OH",23,"IN"
"Northern Cardinal","66-23","35-23",1,23,"OH",23,"IN"
"Common Nighthawk","66-23","35-23",1,23,"OH",23,"IN"
"Downy Woodpecker","66-23","35-23",1,23,"OH",23,"IN"
"Cedar Waxwing","66-23","35-23",1,23,"OH",23,"IN"
"Alder Flycatcher","66-23","35-23",2,23,"OH",23,"IN"
"Golden-winged Warbler","66-23","35-23",1,23,"OH",23,"IN"
"Barred Owl","66-23","35-23",1,23,"OH",23,"IN"
"Yellow-billed Cuckoo","66-23","35-23",1,23,"OH",23,"IN"
"Broad-winged Hawk","66-23","35-23",1,23,"OH",23,"IN"
"Eastern Bluebird","66-23","35-23",1,23,"OH",23,"IN"
"Chipping Sparrow","66-23","35-23",1,23,"OH",23,"IN"
"Blue-winged Warbler","66-23","35-23",1,23,"OH",23,"IN"
"American Redstart","66-23","35-23",1,23,"OH",23,"IN"
"American Goldfinch","66-23","35-23",1,23,"OH",23,"IN"
"Red-shouldered Hawk","66-23","35-23",1,23,"OH",23,"IN"
"Northern Harrier","66-23","35-23",1,23,"OH",23,"IN"
"European Starling","66-23","35-23",1,23,"OH",23,"IN"
"Eastern Phoebe","66-23","35-23",1,23,"OH",23,"IN"
"Bell's Vireo","66-23","35-23",0.11,23,"OH",23,"IN"
"Willow Flycatcher","66-23","35-23",1,23,"OH",23,"IN"
"Turkey Vulture","66-23","35-23",1,23,"OH",23,"IN"
"Eastern Towhee","66-23","35-23",1,23,"OH",23,"IN"
"Yellow-throated Vireo","66-23","35-23",1,23,"OH",23,"IN"
"Short-eared Owl","66-23","35-23",1.31,23,"OH",23,"IN"
"Gray Catbird","66-23","35-23",1,23,"OH",23,"IN"
"House Wren","66-23","35-23",1,23,"OH",23,"IN"
"Purple Martin","66-23","35-23",1,23,"OH",23,"IN"
"Northern Saw-whet Owl","66-23","35-23",1,23,"OH",23,"IN"
"Ring-necked Pheasant","66-23","35-23",1,23,"OH",23,"IN"
"Hairy Woodpecker","66-23","35-23",1,23,"OH",23,"IN"
"Field Sparrow","66-23","35-23",1,23,"OH",23,"IN"
"Great Crested Flycatcher","66-23","35-23",1,23,"OH",23,"IN"
"Yellow-breasted Chat","66-23","35-23",1,23,"OH",23,"IN"
"Baltimore Oriole","66-23","35-23",1,23,"OH",23,"IN"
"Prothonotary Warbler","66-23","35-23",1.02,23,"OH",23,"IN"
"Brown Thrasher","66-23","35-23",1,23,"OH",23,"IN"
"Loggerhead Shrike","66-23","35-23",1,23,"OH",23,"IN"
"Red-tailed Hawk","66-23","35-23",1,23,"OH",23,"IN"
"Yellow Warbler","66-23","35-23",1,23,"OH",23,"IN"
"Eastern Wood-Pewee","66-23","35-23",1,23,"OH",23,"IN"
"Chimney Swift","66-23","35-23",1,23,"OH",23,"IN"
"Red-winged Blackbird","66-23","35-23",1,23,"OH",23,"IN"
"Least Flycatcher","66-23","35-23",1.13,23,"OH",23,"IN"
"Carolina Wren","34-26","39-26",1,26,"IL",26,"KY"
"Common Yellowthroat","34-26","39-26",1,26,"IL",26,"KY"
"Rock Pigeon","34-26","39-26",1,26,"IL",26,"KY"
"American Kestrel","34-26","39-26",1,26,"IL",26,"KY"
"American Goldfinch","34-26","39-26",1,26,"IL",26,"KY"
"Red-bellied Woodpecker","34-26","39-26",1,26,"IL",26,"KY"
"American Robin","34-26","39-26",1,26,"IL",26,"KY"
"Dickcissel","34-26","39-26",1,26,"IL",26,"KY"
"Barred Owl","34-26","39-26",1,26,"IL",26,"KY"
"Black Vulture","34-26","39-26",1,26,"IL",26,"KY"
"Red-winged Blackbird","34-26","39-26",1,26,"IL",26,"KY"
"Hooded Warbler","34-26","39-26",1,26,"IL",26,"KY"
"Eastern Screech-Owl","34-26","39-26",1,26,"IL",26,"KY"
"Pileated Woodpecker","34-26","39-26",1,26,"IL",26,"KY"
"Northern Cardinal","34-26","39-26",1,26,"IL",26,"KY"
"Northern Rough-winged Swallow","34-26","39-26",1,26,"IL",26,"KY"
"Willow Flycatcher","34-26","39-26",1,26,"IL",26,"KY"
"Cliff Swallow","34-26","39-26",1,26,"IL",26,"KY"
"American Crow","34-26","39-26",1,26,"IL",26,"KY"
"Chimney Swift","34-26","39-26",1,26,"IL",26,"KY"
"Louisiana Waterthrush","34-26","39-26",1,26,"IL",26,"KY"
"Mississippi Kite","34-26","39-26",1.38,26,"IL",26,"KY"
"Eastern Phoebe","34-26","39-26",1,26,"IL",26,"KY"
"Great Horned Owl","34-26","39-26",1,26,"IL",26,"KY"
"Blue Jay","34-26","39-26",1,26,"IL",26,"KY"
"Yellow-breasted Chat","34-26","39-26",1,26,"IL",26,"KY"
"Tree Swallow","34-26","39-26",1,26,"IL",26,"KY"
"Purple Martin","34-26","39-26",1,26,"IL",26,"KY"
"Downy Woodpecker","34-26","39-26",1,26,"IL",26,"KY"
"House Finch","34-26","39-26",1,26,"IL",26,"KY"
"Field Sparrow","34-26","39-26",1,26,"IL",26,"KY"
"Bank Swallow","34-26","39-26",1.17,26,"IL",26,"KY"
"Baltimore Oriole","34-26","39-26",1,26,"IL",26,"KY"
"Fish Crow","34-26","39-26",1,26,"IL",26,"KY"
"Eurasian Collared-Dove","34-26","39-26",1.77,26,"IL",26,"KY"
"Tufted Titmouse","34-26","39-26",1,26,"IL",26,"KY"
"Eastern Kingbird","34-26","39-26",1,26,"IL",26,"KY"
"Bewick's Wren","34-26","39-26",0.02,26,"IL",26,"KY"
"Indigo Bunting","34-26","39-26",1,26,"IL",26,"KY"
"Worm-eating Warbler","34-26","39-26",1,26,"IL",26,"KY"
"Kentucky Warbler","34-26","39-26",1,26,"IL",26,"KY"
"Ruby-throated Hummingbird","34-26","39-26",1,26,"IL",26,"KY"
"Red-eyed Vireo","34-26","39-26",1,26,"IL",26,"KY"
"Wild Turkey","34-26","39-26",1,26,"IL",26,"KY"
"Broad-winged Hawk","34-26","39-26",1,26,"IL",26,"KY"
"Great Crested Flycatcher","34-26","39-26",1,26,"IL",26,"KY"
"Acadian Flycatcher","34-26","39-26",1,26,"IL",26,"KY"
"Chipping Sparrow","34-26","39-26",1,26,"IL",26,"KY"
"Eastern Towhee","34-26","39-26",1,26,"IL",26,"KY"
"Black-and-white Warbler","34-26","39-26",1,26,"IL",26,"KY"
"Eastern Meadowlark","34-26","39-26",1,26,"IL",26,"KY"
"Lark Sparrow","34-26","39-26",1,26,"IL",26,"KY"
"Northern Mockingbird","34-26","39-26",1,26,"IL",26,"KY"
"European Starling","34-26","39-26",1,26,"IL",26,"KY"
"Barn Owl","34-26","39-26",1,26,"IL",26,"KY"
"Summer Tanager","34-26","39-26",1,26,"IL",26,"KY"
"Yellow-billed Cuckoo","34-26","39-26",1,26,"IL",26,"KY"
"Loggerhead Shrike","34-26","39-26",1,26,"IL",26,"KY"
"Eastern Whip-poor-will","34-26","39-26",2,26,"IL",26,"KY"
"Warbling Vireo","34-26","39-26",1,26,"IL",26,"KY"
"Grasshopper Sparrow","34-26","39-26",1,26,"IL",26,"KY"
"Red-headed Woodpecker","34-26","39-26",1,26,"IL",26,"KY"
"Yellow-throated Vireo","34-26","39-26",1,26,"IL",26,"KY"
"Brown Thrasher","34-26","39-26",1,26,"IL",26,"KY"
"Brown-headed Cowbird","34-26","39-26",1,26,"IL",26,"KY"
"Red-shouldered Hawk","34-26","39-26",1,26,"IL",26,"KY"
"Wood Thrush","34-26","39-26",1,26,"IL",26,"KY"
"Blue-gray Gnatcatcher","34-26","39-26",1,26,"IL",26,"KY"
"House Wren","34-26","39-26",2,26,"IL",26,"KY"
"Yellow Warbler","34-26","39-26",1,26,"IL",26,"KY"
"Black-billed Cuckoo","34-26","39-26",1,26,"IL",26,"KY"
"White-eyed Vireo","34-26","39-26",1,26,"IL",26,"KY"
"Prairie Warbler","34-26","39-26",0.02,26,"IL",26,"KY"
"Northern Flicker","34-26","39-26",1,26,"IL",26,"KY"
"Gray Catbird","34-26","39-26",1,26,"IL",26,"KY"
"Cerulean Warbler","34-26","39-26",0.37,26,"IL",26,"KY"
"Bell's Vireo","34-26","39-26",1.95,26,"IL",26,"KY"
"White-breasted Nuthatch","34-26","39-26",1,26,"IL",26,"KY"
"Northern Bobwhite","34-26","39-26",1,26,"IL",26,"KY"
"Belted Kingfisher","34-26","39-26",1,26,"IL",26,"KY"
"Common Nighthawk","34-26","39-26",1,26,"IL",26,"KY"
"Yellow-throated Warbler","34-26","39-26",1,26,"IL",26,"KY"
"Cooper's Hawk","34-26","39-26",1,26,"IL",26,"KY"
"Barn Swallow","34-26","39-26",1,26,"IL",26,"KY"
"Horned Lark","34-26","39-26",1,26,"IL",26,"KY"
"Mourning Dove","34-26","39-26",1,26,"IL",26,"KY"
"Common Grackle","34-26","39-26",1,26,"IL",26,"KY"
"Song Sparrow","34-26","39-26",1,26,"IL",26,"KY"
"Northern Parula","34-26","39-26",1,26,"IL",26,"KY"
"Red-tailed Hawk","34-26","39-26",1,26,"IL",26,"KY"
"House Sparrow","34-26","39-26",1,26,"IL",26,"KY"
"Carolina Chickadee","34-26","39-26",1,26,"IL",26,"KY"
"Orchard Oriole","34-26","39-26",1,26,"IL",26,"KY"
"Blue Grosbeak","34-26","39-26",1,26,"IL",26,"KY"
"Hairy Woodpecker","34-26","39-26",1,26,"IL",26,"KY"
"Eastern Wood-Pewee","34-26","39-26",1,26,"IL",26,"KY"
"Swainson's Warbler","34-26","39-26",0.76,26,"IL",26,"KY"
"Turkey Vulture","34-26","39-26",1,26,"IL",26,"KY"
"Sharp-shinned Hawk","34-26","39-26",1,26,"IL",26,"KY"
"Prothonotary Warbler","34-26","39-26",1,26,"IL",26,"KY"
"Eastern Bluebird","34-26","39-26",1,26,"IL",26,"KY"
"Summer Tanager","51-37","42-37",1,37,"MS",37,"LA"
"Carolina Wren","51-37","42-37",1,37,"MS",37,"LA"
"Rock Pigeon","51-37","42-37",1,37,"MS",37,"LA"
"Broad-winged Hawk","51-37","42-37",1,37,"MS",37,"LA"
"Northern Flicker","51-37","42-37",1,37,"MS",37,"LA"
"Common Yellowthroat","51-37","42-37",1,37,"MS",37,"LA"
"Belted Kingfisher","51-37","42-37",2,37,"MS",37,"LA"
"Eastern Wood-Pewee","51-37","42-37",2,37,"MS",37,"LA"
"Carolina Chickadee","51-37","42-37",1.05,37,"MS",37,"LA"
"Painted Bunting","51-37","42-37",1,37,"MS",37,"LA"
"Black Vulture","51-37","42-37",1,37,"MS",37,"LA"
"Red-tailed Hawk","51-37","42-37",1,37,"MS",37,"LA"
"Great Horned Owl","51-37","42-37",1,37,"MS",37,"LA"
"Common Ground-Dove","51-37","42-37",1.05,37,"MS",37,"LA"
"Brown-headed Nuthatch","51-37","42-37",1.06,37,"MS",37,"LA"
"Worm-eating Warbler","51-37","42-37",2,37,"MS",37,"LA"
"Northern Bobwhite","51-37","42-37",1,37,"MS",37,"LA"
"Ruby-throated Hummingbird","51-37","42-37",1,37,"MS",37,"LA"
"Mourning Dove","51-37","42-37",1,37,"MS",37,"LA"
"Indigo Bunting","51-37","42-37",1,37,"MS",37,"LA"
"White-eyed Vireo","51-37","42-37",1,37,"MS",37,"LA"
"Orchard Oriole","51-37","42-37",1,37,"MS",37,"LA"
"Swallow-tailed Kite","51-37","42-37",2,37,"MS",37,"LA"
"Yellow-throated Warbler","51-37","42-37",1,37,"MS",37,"LA"
"Yellow-billed Cuckoo","51-37","42-37",1.05,37,"MS",37,"LA"
"Eastern Screech-Owl","51-37","42-37",1,37,"MS",37,"LA"
"Eurasian Collared-Dove","51-37","42-37",1,37,"MS",37,"LA"
"Chipping Sparrow","51-37","42-37",1,37,"MS",37,"LA"
"Hairy Woodpecker","51-37","42-37",1,37,"MS",37,"LA"
"Great Crested Flycatcher","51-37","42-37",1,37,"MS",37,"LA"
"Downy Woodpecker","51-37","42-37",1,37,"MS",37,"LA"
"Blue Jay","51-37","42-37",1,37,"MS",37,"LA"
"Eastern Meadowlark","51-37","42-37",1,37,"MS",37,"LA"
"Eastern Kingbird","51-37","42-37",1,37,"MS",37,"LA"
"Pine Warbler","51-37","42-37",2,37,"MS",37,"LA"
"Hooded Warbler","51-37","42-37",1.67,37,"MS",37,"LA"
"Common Grackle","51-37","42-37",1,37,"MS",37,"LA"
"Loggerhead Shrike","51-37","42-37",1,37,"MS",37,"LA"
"Red-headed Woodpecker","51-37","42-37",1,37,"MS",37,"LA"
"Barn Swallow","51-37","42-37",1.05,37,"MS",37,"LA"
"European Starling","51-37","42-37",1,37,"MS",37,"LA"
"Pileated Woodpecker","51-37","42-37",1,37,"MS",37,"LA"
"Mississippi Kite","51-37","42-37",1.81,37,"MS",37,"LA"
"Red-shouldered Hawk","51-37","42-37",1,37,"MS",37,"LA"
"Acadian Flycatcher","51-37","42-37",2,37,"MS",37,"LA"
"Gray Kingbird","51-37","42-37",2,37,"MS",37,"LA"
"Red-bellied Woodpecker","51-37","42-37",1,37,"MS",37,"LA"
"Bachman's Sparrow","51-37","42-37",1,37,"MS",37,"LA"
"Barn Owl","51-37","42-37",1,37,"MS",37,"LA"
"Northern Parula","51-37","42-37",1,37,"MS",37,"LA"
"Chuck-will's-widow","51-37","42-37",2,37,"MS",37,"LA"
"Fish Crow","51-37","42-37",1,37,"MS",37,"LA"
"Seaside Sparrow","51-37","42-37",1.43,37,"MS",37,"LA"
"Northern Rough-winged Swallow","51-37","42-37",1,37,"MS",37,"LA"
"Red-eyed Vireo","51-37","42-37",1,37,"MS",37,"LA"
"Purple Martin","51-37","42-37",1,37,"MS",37,"LA"
"Brown Thrasher","51-37","42-37",1.04,37,"MS",37,"LA"
"Northern Mockingbird","51-37","42-37",1,37,"MS",37,"LA"
"Eastern Bluebird","51-37","42-37",1.06,37,"MS",37,"LA"
"Turkey Vulture","51-37","42-37",1,37,"MS",37,"LA"
"Barred Owl","51-37","42-37",1,37,"MS",37,"LA"
"Chimney Swift","51-37","42-37",1,37,"MS",37,"LA"
"Osprey","51-37","42-37",2,37,"MS",37,"LA"
"Northern Cardinal","51-37","42-37",1,37,"MS",37,"LA"
"Brown-headed Cowbird","51-37","42-37",1,37,"MS",37,"LA"
"House Sparrow","51-37","42-37",1,37,"MS",37,"LA"
"American Robin","51-37","42-37",2,37,"MS",37,"LA"
"American Crow","51-37","42-37",1.12,37,"MS",37,"LA"
"Red-winged Blackbird","51-37","42-37",1,37,"MS",37,"LA"
"Swainson's Warbler","51-37","42-37",1,37,"MS",37,"LA"
"Tufted Titmouse","51-37","42-37",1,37,"MS",37,"LA"
"Blue-gray Gnatcatcher","51-37","42-37",1,37,"MS",37,"LA"
"House Finch","51-37","42-37",2,37,"MS",37,"LA"
"Common Nighthawk","51-37","42-37",1,37,"MS",37,"LA"
"Dark-eyed Junco","79-8","45-8",1,8,"SK",8,"MB"
"Savannah Sparrow","79-8","45-8",1,8,"SK",8,"MB"
"American Crow","79-8","45-8",0.99,8,"SK",8,"MB"
"Great Gray Owl","79-8","45-8",1,8,"SK",8,"MB"
"Swamp Sparrow","79-8","45-8",1,8,"SK",8,"MB"
"Sharp-shinned Hawk","79-8","45-8",1.44,8,"SK",8,"MB"
"Northern Saw-whet Owl","79-8","45-8",0.13,8,"SK",8,"MB"
"Great Horned Owl","79-8","45-8",1,8,"SK",8,"MB"
"Brewer's Blackbird","79-8","45-8",0.01,8,"SK",8,"MB"
"Alder Flycatcher","79-8","45-8",1,8,"SK",8,"MB"
"Common Yellowthroat","79-8","45-8",0.5,8,"SK",8,"MB"
"Eastern Kingbird","79-8","45-8",1.11,8,"SK",8,"MB"
"Brown Creeper","79-8","45-8",0.14,8,"SK",8,"MB"
"Lincoln's Sparrow","79-8","45-8",1,8,"SK",8,"MB"
"Gray-cheeked Thrush","79-8","45-8",0.58,8,"SK",8,"MB"
"Black-backed Woodpecker","79-8","45-8",1,8,"SK",8,"MB"
"Hermit Thrush","79-8","45-8",1,8,"SK",8,"MB"
"White-throated Sparrow","79-8","45-8",1,8,"SK",8,"MB"
"Wilson's Warbler","79-8","45-8",0.99,8,"SK",8,"MB"
"Blackpoll Warbler","79-8","45-8",2,8,"SK",8,"MB"
"Red-eyed Vireo","79-8","45-8",0.74,8,"SK",8,"MB"
"Nelson's Sparrow","79-8","45-8",0.07,8,"SK",8,"MB"
"Least Flycatcher","79-8","45-8",1.37,8,"SK",8,"MB"
"Tree Swallow","79-8","45-8",1,8,"SK",8,"MB"
"Boreal Chickadee","79-8","45-8",1,8,"SK",8,"MB"
"Long-eared Owl","79-8","45-8",1.3,8,"SK",8,"MB"
"Olive-sided Flycatcher","79-8","45-8",1,8,"SK",8,"MB"
"Palm Warbler","79-8","45-8",0.97,8,"SK",8,"MB"
"Golden-crowned Kinglet","79-8","45-8",0.84,8,"SK",8,"MB"
"Brown-headed Cowbird","79-8","45-8",0.07,8,"SK",8,"MB"
"Yellow-bellied Sapsucker","79-8","45-8",1.44,8,"SK",8,"MB"
"Ruffed Grouse","79-8","45-8",1,8,"SK",8,"MB"
"Mourning Warbler","79-8","45-8",0.69,8,"SK",8,"MB"
"Spruce Grouse","79-8","45-8",1,8,"SK",8,"MB"
"Black-and-white Warbler","79-8","45-8",0.67,8,"SK",8,"MB"
"American Tree Sparrow","79-8","45-8",1.77,8,"SK",8,"MB"
"Black-billed Magpie","79-8","45-8",2,8,"SK",8,"MB"
"Short-eared Owl","79-8","45-8",1,8,"SK",8,"MB"
"Fox Sparrow","79-8","45-8",2,8,"SK",8,"MB"
"Red-winged Blackbird","79-8","45-8",1.39,8,"SK",8,"MB"
"European Starling","79-8","45-8",1,8,"SK",8,"MB"
"Tennessee Warbler","79-8","45-8",1,8,"SK",8,"MB"
"Bald Eagle","79-8","45-8",1,8,"SK",8,"MB"
"Clay-colored Sparrow","79-8","45-8",1.15,8,"SK",8,"MB"
"Northern Hawk Owl","79-8","45-8",1,8,"SK",8,"MB"
"Bank Swallow","79-8","45-8",1,8,"SK",8,"MB"
"Northern Harrier","79-8","45-8",1,8,"SK",8,"MB"
"Common Raven","79-8","45-8",1,8,"SK",8,"MB"
"Pine Siskin","79-8","45-8",0.61,8,"SK",8,"MB"
"Harris's Sparrow","79-8","45-8",0.02,8,"SK",8,"MB"
"American Kestrel","79-8","45-8",1,8,"SK",8,"MB"
"Merlin","79-8","45-8",1,8,"SK",8,"MB"
"Sharp-tailed Grouse","79-8","45-8",1,8,"SK",8,"MB"
"Ruby-crowned Kinglet","79-8","45-8",1,8,"SK",8,"MB"
"Bohemian Waxwing","79-8","45-8",2,8,"SK",8,"MB"
"Cedar Waxwing","79-8","45-8",1.44,8,"SK",8,"MB"
"American Robin","79-8","45-8",0.99,8,"SK",8,"MB"
"Le Conte's Sparrow","79-8","45-8",1.44,8,"SK",8,"MB"
"Blue Jay","79-8","45-8",0.24,8,"SK",8,"MB"
"Yellow-bellied Flycatcher","79-8","45-8",1,8,"SK",8,"MB"
"Osprey","79-8","45-8",1,8,"SK",8,"MB"
"Downy Woodpecker","79-8","45-8",1,8,"SK",8,"MB"
"Bay-breasted Warbler","79-8","45-8",0.86,8,"SK",8,"MB"
"Pine Grosbeak","79-8","45-8",0.64,8,"SK",8,"MB"
"Magnolia Warbler","79-8","45-8",1.42,8,"SK",8,"MB"
"White-winged Crossbill","79-8","45-8",1,8,"SK",8,"MB"
"Northern Waterthrush","79-8","45-8",1,8,"SK",8,"MB"
"Golden Eagle","79-8","45-8",1,8,"SK",8,"MB"
"Common Grackle","79-8","45-8",1.44,8,"SK",8,"MB"
"Boreal Owl","79-8","45-8",1,8,"SK",8,"MB"
"Gray Jay","79-8","45-8",1,8,"SK",8,"MB"
"Canada Warbler","79-8","45-8",0.37,8,"SK",8,"MB"
