"Prov","cn","Aou","BCR","n.routes","mean.PopEst","med.PopEst","Coeff.var","LCI80.PopEst","UCI80.PopEst","LCI95.PopEst","UCI95.PopEst","rounded.mean.PopEst","rounded.med.PopEst","rounded.LCI80.PopEst","rounded.UCI80.PopEst","rounded.LCI95.PopEst","rounded.UCI95.PopEst","st_abrev"
2,"Cooper's Hawk",3330,28,21,64060.45,60739,0.347911358663521,36649.7,96440.6,28816.25,105991.675,64100,60700,36600,96400,28800,106000,"AL"
2,"White-breasted Nuthatch",7270,27,57,57724.96,54235.5,0.41566194973723,28996.6,85227.9,17552.825,108217.425,57700,54200,29000,85200,17600,108000,"AL"
2,"Northern Parula",6480,29,5,345297.42,347391,0.201522990445591,266295.4,435579.5,227278.3,472875.8,345000,347000,266000,436000,227000,473000,"AL"
2,"House Finch",5190,27,57,1193930.67,1205956.5,0.206544617043246,857476.3,1486524.8,713248.125,1675626.9,1190000,1210000,857000,1490000,713000,1680000,"AL"
2,"Wood Thrush",7550,27,57,1064130.16,1051010.5,0.129728140566733,890838.5,1272572.7,834441.975,1338847.775,1060000,1050000,891000,1270000,834000,1340000,"AL"
2,"Tufted Titmouse",7310,24,6,622846.19,626183,0.19853051434263,472771.9,768911.4,389262.425,888721.075,623000,626000,473000,769000,389000,889000,"AL"
2,"Barred Owl",3680,29,5,3537.74,2936,0.746507188161477,834.2,6731.8,0,9694.07499999999,3540,2940,834,6730,0,9690,"AL"
2,"Red-bellied Woodpecker",4090,29,5,203632.3,204718,0.134582584716856,169027.7,236898.1,153092.925,257259.2,204000,205000,169000,237000,153000,257000,"AL"
2,"Brown Thrasher",7050,28,21,798114.63,802036.5,0.136593508680813,660042.8,921044.5,610063.8,1003309.75,798000,802000,660000,921000,610000,1e+06,"AL"
2,"Eastern Towhee",5870,24,6,1000164.88,986148.5,0.143506356544962,832920.5,1196922.3,741952.325,1268053.275,1e+06,986000,833000,1200000,742000,1270000,"AL"
2,"Inca Dove",3210,27,57,1397.35,1306.5,0.647438717447581,272.6,2660.2,97.95,3308.1,1400,1310,273,2660,97.9,3310,"AL"
2,"Eastern Towhee",5870,27,57,6399144.54,6384637,0.0839843798384436,5779972.8,7100813.4,5415511.425,7382888.45,6400000,6380000,5780000,7100000,5420000,7380000,"AL"
2,"European Starling",4930,27,57,992036.99,968445,0.208454549256373,751389.5,1225932.3,641070.675,1398718.125,992000,968000,751000,1230000,641000,1400000,"AL"
2,"American Goldfinch",5290,27,57,138127.44,133527,0.338069611545978,80981.7,208110.1,59655.225,241922.6,138000,134000,81000,208000,59700,242000,"AL"
